"UP 2210"
"Version"	"1.64"	"1.62"
"Serialnumber:"	25003817
"Main comment"	"Measure 1"
"Start:"	"2008-07-01"	"15:45:00"
"End:"	"2008-07-04"	"13:31:17"
"Storage interval:"	"0:10:00"



"Channel/Method"	"Comment"	"Range"	"Min"	"Max"
"Pst1  [] Flicker Pst"	""	""	0,163000	2,541000
"Pst2  [] Flicker Pst"	""	""	0,153000	3,103000
"Pst3  [] Flicker Pst"	""	""	0,144000	4,028000




Date	Time	"Pst1  []"	"Pst2  []"	"Pst3  []"	
"2008-07-03"	"11:05:00"	0,456	0,401	0,412	
"2008-07-03"	"11:15:00"	0,403	0,351	0,35	
"2008-07-03"	"11:25:00"	1,147	1,052	1,164	
"2008-07-03"	"11:35:00"	0,604	0,465	0,457	
"2008-07-03"	"11:45:00"	0,444	0,422	0,386	
"2008-07-03"	"11:55:00"	0,496	0,495	0,497	
"2008-07-03"	"12:05:00"	0,445	0,437	0,433	
"2008-07-03"	"12:15:00"	0,396	0,343	0,365	
"2008-07-03"	"12:25:00"	0,407	0,345	0,356	
"2008-07-03"	"12:35:00"	0,457	0,407	0,364	
"2008-07-03"	"12:45:00"	0,646	0,404	0,418	
"2008-07-03"	"12:55:00"	0,481	0,473	0,456	
"2008-07-03"	"13:05:00"	0,4	0,41	0,399	
"2008-07-03"	"13:15:00"	0,692	0,481	0,584	
"2008-07-03"	"13:25:00"	0,439	0,4	0,397	
"2008-07-03"	"13:35:00"	0,448	0,393	0,4	
"2008-07-03"	"13:45:00"	0,352	0,339	0,314	
"2008-07-03"	"13:55:00"	0,5	0,393	0,435	
"2008-07-03"	"14:05:00"	0,494	0,453	0,428	
"2008-07-03"	"14:15:00"	0,515	0,488	0,569	
"2008-07-03"	"14:25:00"	0,527	0,554	0,534	
"2008-07-03"	"14:35:00"	0,319	0,345	0,298	
"2008-07-03"	"14:45:00"	0,362	0,34	0,345	
"2008-07-03"	"14:55:00"	0,3	0,268	0,291	
"2008-07-03"	"15:05:00"	0,397	0,414	0,354	
"2008-07-03"	"15:15:00"	0,385	0,392	0,387	
"2008-07-03"	"15:25:00"	0,444	0,463	0,401	
"2008-07-03"	"15:35:00"	0,568	0,522	0,529	
"2008-07-03"	"15:45:00"	0,406	0,372	0,339	
"2008-07-03"	"15:55:00"	0,435	0,361	0,395	
"2008-07-03"	"16:05:00"	0,407	0,427	0,658	
"2008-07-03"	"16:15:00"	0,453	0,455	0,463	
"2008-07-03"	"16:25:00"	0,502	0,509	0,53	
"2008-07-03"	"16:35:00"	0,486	0,44	0,44	
"2008-07-03"	"16:45:00"	0,577	0,575	0,545	
"2008-07-03"	"16:55:00"	0,526	0,483	0,486	
"2008-07-03"	"17:05:00"	0,311	0,332	0,344	
"2008-07-03"	"17:15:00"	0,366	0,361	0,333	
